smiles,value
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.431363764
CCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],2.342422681
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1.986771734
CCCCCCCCCCCCS(=O)(=O)[O-].[NH4+],3.949390007
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],3.130333768
CCCCCCCCCCCC[N+](C)(C)CCCCCC(=O)[O-],3.414973348
CCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.72427587
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.913813852
CCCCCCCCCCCC[NH+]CCO.[Cl-],4.556302501
CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],1.301029996
CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.968482949
CCCCCCCCCCCCS(=O)(=O)[O-].[K+],3.968482949
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,0.220108088
OCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.568201724
CCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.491361694
CCCCCCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],3.041392685
OCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.397940009
CCCCCCCCCCOCCOCCOCCOCCO,2.832508913
CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.431363764
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],3.301029996
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1.397940009
CCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.301029996
CCCCCCCCSCC(O)C(O)C(O)CO,3.079181246
CCCCCCCC(=O)OCC(O)C(O)C(O)CO,4.255272505
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.491361694
CCCCCCCCOCCOCCOCCOCCOCCO,3.963787827
OCCOCCOCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.681241237
CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.505149978
CCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],3.477121255
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.361727836
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],4.462397998
CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.69019608
CCCCCCCCCCCC[NH2+]CCO.[Cl-],4.653212514
CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.73239376
CCCCCC(=O)OCC(O)C(O)C(O)CO,4.763427994
CCCCCCCCOCCO,3.69019608
CCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],5.230448921
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,2.176091259
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],4.819543936
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,4.113943352
CCCCCCCCCCCC[N+](C)(C)C.[Cl-],4.301029996
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,1.806179974
CCCCSCC(O)C(O)C(O)CO,5.255272505
CCCCCCCCCC[N+](C)(C)CC(=O)[O-],4.255272505
CCCCCCCCCCCC(=O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,2.662757832
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],2.959041392
CCCCCCCCCCCC(=O)NC1CCOC1=O,0.602059991
CCCCCCCCCC[n+]1ccccc1.[Br-],4.643452676
CCCCCCCCCCCC[N+](C)(C)CCCCCC.[Br-],3.491361694
CCCCCCCCCCC[n+]1ccccc1.[Br-],4.322219295
CCCCCCCCCCSC1OC(=O)C(O)C1O,1.51851394
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,3.826074803
CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],3.653212514
CCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.755874856
CCCCC(=O)OCC(O)C(O)C(O)CO,5.079181246
CCCCCC(=O)CC(=O)NC1CCOC1=O,3.336459734
CCCCCCCCCCCCCCCC(=O)NC(C(=O)[O-])C(C)C.[Na+],3.278753601
O=S(=O)([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],3.799340549
CCCCCCCCOCC(O)CO,3.763427994
CCCCCCCCCCCCOCCOCCO,1.51851394
CCCCCCCCC(CC)OS(=O)(=O)[O-].C[N+](C)(C)C,3.740362689
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,0.230448921
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1.939519253
CCCCCSCC(O)C(O)C(O)CO,4.662757832
CCCCCCCC(CCCCCC)SCCC(=O)OCC1(O)C(O)C(O)C(O)C1O,0.799340549
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,3
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,2.113943352
