smiles,smiles,ratio,value
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.20:0.80,15.6
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NC(=O)C(F)(F)F,1:3,-31.79
[Cl-].C[N+](C)(C)CCO,Cc1ccccc1O,227:273,75.15
C[N+](C)(C)CCO.[Cl-],CC1=CC(=C(C=C1)C(C)C)O,0.90:0.10,244.85
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(COCCOCCO)O,0.25:0.75,-13
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,0.17:0.83,-15.55
[Cl-].C[N+](C)(C)CCO,Cc1ccccc1O,83:417,-21.75
C(#N)[S-].[NH4+],C1CCC(=O)NCC1,0.33:0.67,0.877
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(=O)(C(F)(F)F)N,0.71:0.29,77.04
CC1CCC(C(C1)O)C(C)C,CC(C1CCCCC1)C(=O)O,0.90:0.10,35.032
CCCCCCCCCC(=O)O,C1=CC=C(C=C1)CCC(=O)O,0.70:0.30,20.02
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OCC(O)CO,1:8,61.24
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.90:0.10,263.55
C[N+](C)(C)CCO.[Cl-],CC1=CC(=C(C=C1)C(C)C)O,0.30:0.70,54.25
C[N+](C)(C)CCO.[Cl-],C1=CC=C2C(=C1)C=CC(=O)O2,0.40:0.60,69
C[N+](C)(C)CC(=O)[O-],C(=O)(N)N,0.20:0.80,86.15
C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(C(CO)O)O,0.33:0.67,55.76
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:1,75.60
C(#N)[S-].[K+],C1CCC(=O)NCC1,0.75:0.25,171.05
C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.50:0.50,33
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.10:0.90,37.77
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(COCCOCCO)O,0.20:0.80,-18.17
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(=O)(C(=O)O)O,0.50:0.50,-22.16
Br[Zn]Br,C[N+](C)(C)CCO.[Cl-],0.67:0.33,38
Cl[Fe](Cl)Cl,C[N+](C)(C)CCO.[Cl-],0.67:0.33,21
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.50:0.50,13.69
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NC(=O)C(F)(F)F,1:10,-67.034
C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O,0.11:0.89,-9.95
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,NC(=O)C(F)(F)F,1:2,133.77
[B-](F)(F)(F)F.CC[N+](CC)(CC)CC1=CC=CC=C1,C(=O)(N)N,0.33:0.67,59
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCC(=O)O,0.25:0.75,24.53
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:2,-43.12
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,2:3,21.05
[Cl-].C[N+](C)(C)CCO,Cc1ccccc1O,91:909,9.85
