smiles,smiles,ratio,temperature,value
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:3,333.15,1273.6
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,318.15,1218.5
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:3,298.15,1205.1
[Cl-].CC(=O)OCC[N+](C)(C)C,COc1ccccc1O,1:3,293.15,1149.6
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:2.03,303.15,1303.0
[Cl-].C[N+](C)(C)CCO,OC(=O)CCCC(O)=O,1:1,328.15,1170.0
[Cl-].C[N+](C)(C)CCO,OCCO,1:1.78,363.15,1082.0
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OCCO,1:3,328.15,1042.1
[Cl-].CC(=O)OCC[N+](C)(C)C,CC(=O)CCC(O)=O,1:1,318.15,1125.6
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2,333.15,1171.3
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,323.15,1102.7
[Cl-].CC[NH+](CC)CCO,OCCO,1:4,313.15,1094.2
[Cl-].C[N+](C)(C)CCO,COc1ccccc1O,1:5,293.15,1149.7
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OCCO,1:3,343.15,1032.9
[Cl-].C[N+](C)(C)CCO,NC(N)=O,1:2,333.15,1179.6
[Cl-].C[N+](C)(C)CCO,Oc1ccc(Cl)cc1,1:2,303.15,1194.6
[Cl-].C[N+](C)(C)CCO,OC(=O)CC(O)=O,1:1,338.15,1207.0
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,303.15,1114.2
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,293.15,1269.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OC(=O)Cc1ccccc1,1:2,293.15,1043.6
C[N+](C)(C)CC([O-])=O,CC(O)C(O)=O,1:2,328.15,1180.4
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,293.15,1242.0
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,353.15,1085.8
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,293.15,1255.0
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,323.15,1264.0
[Cl-].C[N+](C)(C)CCO,Cc1ccc(O)cc1,1:2,323.15,1047.6
[Cl-].CC[NH+](CC)CCO,OCCO,1:2.03,338.15,1074.8
[Cl-].C[N+](C)(C)CCO,OCCO,1:2.57,368.15,1075.7
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:3,298.15,1297.6
CC(N(C)C)C(O)=O,OC(=O)Cc1ccccc1,1:2,298.15,1160.0
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:2.03,348.15,1143.1
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:2.03,318.15,1292.0
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1ccnc1,1:1.5,313.15,1120.0
[Cl-].C[N+](C)(C)CCO,OC(C(O)C(O)=O)C(O)=O,2:1,303.15,1273.5
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OC(=O)Cc1ccccc1,1:2,333.15,1017.6
[Cl-].C[N+](C)(C)CCO,NC(N)=O,1:2,333.15,1177.3
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,318.15,1218.5
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,N[C@@H](CC(O)=O)C(O)=O,9:1,323.15,950.1
[Cl-].C[N+](C)(C)CCO,CC(=O)CCC(O)=O,1:4,303.15,1134.1
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:4,323.15,1271.0
