smiles,smiles,ratio,temperature,value,value,value
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCC(O)CO,1:2,318.15,1.0295,2.3326404103874627,
[Cl-].C[N+](C)(C)CCO,Cc1ccc(O)cc1,1:2,333.15,1.03977,1.2922560713564761,
[Cl-].C[N+](C)(C)CCO,OCC(O)=O,1:1,333.15,1.175,1.9181352261663591,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,303.15,1.252,2.9294138163373917,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:2,318.15,0.97703,1.6503075231319364,0.359835482339888
[Cl-].C[N+](C)(C)CCO,OC(=O)C(O)=O,1:1,313.15,1.248,3.330819466495837,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,303.15,1.275,2.8519490003385286,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:3,313.15,1.001,2.467312062980552,-0.3142582613977364
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,353.15,1.192,1.5931752634781027,
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OCC(O)CO,1:5,338.15,,2.530583859645118,-1.728158393463501
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,298.15,1.224,3.1438170349765744,
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,293.15,1.262,4.066127185510481,
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:2,298.15,1.09481,1.999174055588485,0.31175386105575426
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCC(O)CO,1:2,323.15,1.0263,2.210853365314893,
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCC(O)CO,1:2,303.15,1.0393,2.7535830588929064,
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1ccnc1,1:2,303.15,1.1206,2.0142264293892294,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,323.15,1.238,2.4084604495008644,
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1ccnc1,1:1.5,333.15,1.1092,1.547651658359969,
[Cl-].CC(=O)OCC[N+](C)(C)C,CC(=O)CCC(O)=O,1:3,308.15,1.13301,,0.04921802267018165
[Cl-].CC[N+](CC)(CC)CC,CC(=O)CCC(O)=O,1:3,333.15,1.0692,1.2720737875000099,0.6560982020128319
